"I_CODE"       ,"A_TYPE"  ,"M_TYPE" ,"B_NAME"                            ,"B_COUPON"   ,"B_ISSUER"                                 ,"B_ISSUE_DATE" ,"B_MTR_DATE" ,"B_PAR_VALUE" ,"B_DAYCOUNT"
"BBG00R953ZY1" ,"SPT_BD"  ,"CMMT"   ,"SDBC 3.23 01/10/25"                ,"0.03230000" ,"CHINA DEVELOPMENT BANK"                   ,"2020-01-07"   ,"2025-01-10" ,"100.000"     ,"Actual/Actual (ISDA)"
"BCCXTDRH2"    ,"SPT_ABS" ,"CMMT"   ,"STRU MS-2130 FB Mtge"              ,"0.01400000" ,"Government National Mortgage Association" ,"2023-10-20"   ,"2053-09-20" ,"100.000"     ,"30/360 (Bond Basis)"
"BCCXTZQC5"    ,"SPT_ABS" ,"CMMT"   ,"STRU JP-2490 FL Mtge"              ,"0.01600000" ,"Government National Mortgage A"           ,"2023-11-20"   ,"2053-11-20" ,"100.000"     ,"30/360 (Bond Basis)"
"BCCXU3JJ7"    ,"SPT_ABS" ,"CMMT"   ,"STRU BNP-7254 FA Mtge"             ,"0.01450000" ,"Fannie Mae"                               ,"2023-11-25"   ,"2053-11-25" ,"100.000"     ,"30/360 (Bond Basis)"
"BCCXWL1A3"    ,"SPT_ABS" ,"CMMT"   ,"U CITI-3258 FB Mtge"               ,"0.01450000" ,"Fannie Mae"                               ,"2024-04-25"   ,"2054-04-30" ,"100.000"     ,"30/360 (Bond Basis)"
"BCCXXB0E7"    ,"SPT_ABS" ,"CMMT"   ,"STRU BMOC-7498 FL Mtge"            ,"0.01350000" ,"Freddie Mac"                              ,"2024-05-25"   ,"2054-05-25" ,"100.000"     ,"30/360 (Bond Basis)"
"BCCXXJL98"    ,"SPT_ABS" ,"CMMT"   ,"STRU GS-2172 FA Mtge"              ,"0.01530000" ,"Fannie Mae"                               ,"2024-06-25"   ,"2054-06-25" ,"100.000"     ,"30/360 (Bond Basis)"
"CH0271428333" ,"SPT_BD"  ,"CMMT"   ,"UBS 7 PERP"                        ,"0.07000000" ,"UBS GROUP AG"                             ,"2015-02-13"   ,"2025-02-19" ,"100.000"     ,"30/360"
"CND100007ZF8" ,"SPT_BD"  ,"CMMT"   ,"SHADEV 4.8 11/05/24"               ,"0.04800000" ,"SHANGHAI MUNI INVEST"                     ,"2014-10-28"   ,"2024-11-05" ,"100.000"     ,"Actual/Actual (ISMA)"
"CND10003VSY1" ,"SPT_BD"  ,"CMMT"   ,"QDRCBK 1.2 08/25/26"               ,"0.01200000" ,"QINGDAO RURAL BANK"                       ,"2020-08-25"   ,"2026-08-25" ,"100.000"     ,"30/360"
"CND10003VTC5" ,"SPT_BD"  ,"CMMT"   ,"BENGAN 2.9 06/29/26"               ,"0.02900000" ,"BENGANG STEEL PLATES"                     ,"2020-06-23"   ,"2026-06-29" ,"100.000"     ,"30/360"
"CND10003VWW7" ,"SPT_BD"  ,"CMMT"   ,"HAILIA 1.8 11/21/25"               ,"0.01800000" ,"ZHEJIANG HAILIANG CO"                     ,"2019-11-19"   ,"2025-11-21" ,"100.000"     ,"30/360"
"CND100042241" ,"SPT_BD"  ,"CMMT"   ,"HYPETR 1.2 10/16/26"               ,"0.01200000" ,"HENGYI PETROCHEM"                         ,"2020-10-14"   ,"2026-10-16" ,"100.000"     ,"30/360"
